$$Name$QUT_Staff_Email__c,Account.Name,AccountId,Birthdate,Company_Name__c,ContactMobile_Validation__c,Description,Email,FirstName,hed__Chosen_Full_Name__c,hed__Primary_Organization__c,hed__Primary_Organization__r.Name,Id,LastName,Migration_Key__c,MobilePhone,Name,QUT_Employee_ID__c,QUT_Identity_ID__c,QUT_Staff_Email__c,QUT_Student_ID__c,Salutation,Work_Email__c
Spade,Spade () Administrative Account,001AD00000U2k2aYAB,,,None,,katespadeupdated@email.com,,,,,003AD00000Rx12SYAR,Spade,,,Spade,,,,,,
Pringle,Pringle () Administrative Account,001AD00000U2k2bYAB,,,None,,stanpring@gmail.com,,,,,003AD00000Rx12TYAR,Pringle,,,Pringle,,,,,,
Lovely,Lovely () Administrative Account,001AD00000U2k2cYAB,,,None,,missloveylim@email.com,,,,,003AD00000Rx12UYAR,Lovely,,,Lovely,,,,,,
Please,Please () Administrative Account,001AD00000U2k2dYAB,,,None,,missplease@email.com,,,,,003AD00000Rx12VYAR,Please,,,Please,,,,,,
Leads,Leads () Administrative Account,001AD00000U2k2eYAB,,ACN,None,,missleadslim@email.com,,,,,003AD00000Rx12WYAR,Leads,,,Leads,,,,,,
QUT CCE,QUT CCE () Administrative Account,001AD00000U2k2fYAB,,,None,,qutcce@email.com,,,,,003AD00000Rx12XYAR,QUT CCE,,,QUT CCE,,,,,,
DOM AC7,DOM AC7 () Administrative Account,001AD00000U2k2gYAB,,,None,,domac7@emails.com,,,,,003AD00000Rx12YYAR,DOM AC7,,,DOM AC7,,,,,,
DOM AC8,DOM AC8 () Administrative Account,001AD00000U2k2hYAB,,acn,None,,domac8@email.com,,,,,003AD00000Rx12ZYAR,DOM AC8,,,DOM AC8,,,,,,
Clint Barton;qut.automation+bartonstaff@gmail.com,Central Perc Co.,001AD00000U2kWzYAJ,,,Valid,,qut.automation+barton@gmail.com,Clint,Clint,,,003AD00000Rx12aYAB,Barton,,61401193175,Clint Barton,,,qut.automation+bartonstaff@gmail.com,,MR,
Bucky Barnes;qut.automation+barnesstaff@gmail.com,Central Perc Co.,001AD00000U2kWzYAJ,,,Valid,,qut.automation+barnes@gmail.com,Bucky,Bucky,,,003AD00000Rx12bYAB,Barnes,,61401193175,Bucky Barnes,,,qut.automation+barnesstaff@gmail.com,,MR,
Darcy Lewis;qut.automation+lewisstaff@gmail.com,Lewis (Darcy) Administrative Account,001AD00000U2k2kYAB,,,Valid,,qut.automation+lewis@gmail.com,Darcy,Darcy,,,003AD00000Rx12cYAB,Lewis,,61401193175,Darcy Lewis,,,qut.automation+lewisstaff@gmail.com,,MS,qut.automation+lewisstaffii@gmail.com
Edward Leeds;qut.automation+leedsstaff@gmail.com,Leeds (Edward) Administrative Account,001AD00000U2k2lYAB,,,Valid,,qut.automation+leeds@gmail.com,Edward,Edward,,,003AD00000Rx12dYAB,Leeds,,61401193175,Edward Leeds,,,qut.automation+leedsstaff@gmail.com,,MR,qut.automation+leedsstaffii@gmail.com
Clint Barton,Barton (Clint) Administrative Account,001AD00000U2k2mYAB,,,None,,qut.automation+bartonstaff@gmail.com,Clint,,,,003AD00000Rx12eYAB,Barton,,,Clint Barton,,,,,,
Bucky Barnes,Barnes (Bucky) Administrative Account,001AD00000U2k2nYAB,,,None,,qut.automation+barnesstaff@gmail.com,Bucky,,,,003AD00000Rx12fYAB,Barnes,,,Bucky Barnes,,,,,,
Darcy Lewis,Lewis (Darcy) Administrative Account,001AD00000U2k2oYAB,,,None,,qut.automation+lewisstaffii@gmail.com,Darcy,,,,003AD00000Rx12gYAB,Lewis,,,Darcy Lewis,,,,,,
