Application_Source__c,Application_Status__c,Id,Lead__c,Lead__r.Name,Name
Studylink,,a1kAD000019eSntYAE,00QAD00000DaJ532AF,Gon Freeces,MCA - 000290267
SAMS,,a1kAD000019eSnuYAE,00QAD00000DaJ512AF,Keith Ancheta Test,MCA - 000290268
SAMS,,a1kAD000019eSnvYAE,00QAD00000DaJ522AF,Katrina Enrera,MCA - 000290269
Studylink,,a1kAD000019eSnwYAE,00QAD00000DaJ502AF,Christian Albert,MCA - 000290270
SAMS,Accepted,a1kAD000019eSnxYAE,00QAD00000DaJ4h2AF,Miss Happy,MCA - 000290271
Studylink,,a1kAD000019eSnyYAE,00QAD00000DaJ4w2AF,Miss S3 Intl AC5 S3,MCA - 000290272
Studylink,Accepted,a1kAD000019eSnzYAE,00QAD00000DaJ4u2AF,Miss Intl AC2,MCA - 000290273
SAMS,Accepted,a1kAD000019eSo0YAE,00QAD00000DaJ4j2AF,Miss DOM AC1,MCA - 000290274
Studylink,Conditional Offer,a1kAD000019eSo1YAE,00QAD00000DaJ4r2AF,Miss Intl AC4,MCA - 000290275
SAMS,Accepted,a1kAD000019eSo2YAE,00QAD00000DaJ4o2AF,Miss DOM AC2,MCA - 000290276
SAMS,Accepted,a1kAD000019eSo3YAE,00QAD00000DaJ4p2AF,Miss DOM AC3,MCA - 000290277
SAMS,Accepted,a1kAD000019eSo4YAE,00QAD00000DaJ4k2AF,Miss Y11 DOM AC4,MCA - 000290278
SAMS,Accepted,a1kAD000019eSo5YAE,00QAD00000DaJ4m2AF,Miss Y10 DOM AC6,MCA - 000290279
SAMS,Accepted,a1kAD000019eSo6YAE,,,MCA - 000290280
SAMS,Accepted,a1kAD000019eSo7YAE,,,MCA - 000290281
Studylink,Submitted,a1kAD000019eSo8YAE,00QAD00000DaJ4n2AF,Miss Intl AC3,MCA - 000290282
Studylink,,a1kAD000019eSo9YAE,00QAD00000DaJ4t2AF,Miss S1 Intl AC5 S1,MCA - 000290283
Studylink,,a1kAD000019eSoAYAU,00QAD00000DaJ4v2AF,Miss S2 Intl AC5 S2,MCA - 000290284
Studylink,,a1kAD000019eSoBYAU,00QAD00000DaJ4x2AF,Miss S4 Intl AC6 S4,MCA - 000290285
Studylink,,a1kAD000019eSoCYAU,00QAD00000DaJ4i2AF,Miss S5 Intl AC6 S5,MCA - 000290286
SAMS,Accepted,a1kAD000019eSoDYAU,00QAD00000DaJ4y2AF,Miss P DOM AC82,MCA - 000290287
Studylink,,a1kAD000019eSpVYAU,,,MCA - 000290288
SAMS,,a1kAD000019eSpWYAU,,,MCA - 000290289
SAMS,,a1kAD000019eSpXYAU,,,MCA - 000290290
Studylink,,a1kAD000019eSpYYAU,,,MCA - 000290291
SAMS,Accepted,a1kAD000019eSpZYAU,,,MCA - 000290292
Studylink,,a1kAD000019eSpaYAE,,,MCA - 000290293
Studylink,Accepted,a1kAD000019eSpbYAE,,,MCA - 000290294
SAMS,Accepted,a1kAD000019eSpcYAE,,,MCA - 000290295
Studylink,Conditional Offer,a1kAD000019eSpdYAE,,,MCA - 000290296
SAMS,Accepted,a1kAD000019eSpeYAE,,,MCA - 000290297
SAMS,Accepted,a1kAD000019eSpfYAE,,,MCA - 000290298
SAMS,Accepted,a1kAD000019eSpgYAE,,,MCA - 000290299
SAMS,Accepted,a1kAD000019eSphYAE,,,MCA - 000290300
SAMS,Accepted,a1kAD000019eSpiYAE,,,MCA - 000290301
SAMS,Accepted,a1kAD000019eSpjYAE,,,MCA - 000290302
Studylink,Submitted,a1kAD000019eSpkYAE,,,MCA - 000290303
Studylink,,a1kAD000019eSplYAE,,,MCA - 000290304
Studylink,,a1kAD000019eSpmYAE,,,MCA - 000290305
Studylink,,a1kAD000019eSpnYAE,,,MCA - 000290306
Studylink,,a1kAD000019eSpoYAE,,,MCA - 000290307
SAMS,Accepted,a1kAD000019eSppYAE,,,MCA - 000290308
