Id,Lead__c,Lead__r.Name,Name,SPAD__c
a1lAD000000I7r3YAC,00QAD00000DaJ4t2AF,Miss S1 Intl AC5 S1,MI - 002544680,quti_start_online_s12022
a1lAD000000I7r4YAC,00QAD00000DaJ4v2AF,Miss S2 Intl AC5 S2,MI - 002544681,quti_start_online_s12022
a1lAD000000I7r5YAC,00QAD00000DaJ4w2AF,Miss S3 Intl AC5 S3,MI - 002544682,quti_start_online_s12022
a1lAD000000I7r6YAC,00QAD00000DaJ4x2AF,Miss S4 Intl AC6 S4,MI - 002544683,quti_start_online_s12022
a1lAD000000I7r7YAC,00QAD00000DaJ4i2AF,Miss S5 Intl AC6 S5,MI - 002544684,Nursing
a1lAD000000I7sfYAC,,,MI - 002544685,quti_start_online_s12022
a1lAD000000I7sgYAC,,,MI - 002544686,quti_start_online_s12022
a1lAD000000I7shYAC,,,MI - 002544687,quti_start_online_s12022
a1lAD000000I7siYAC,,,MI - 002544688,quti_start_online_s12022
a1lAD000000I7sjYAC,,,MI - 002544689,Nursing
