Id,Lead__c,Lead__r.Name,My_Country_Of_Citizenship__c,My_Primary_BSA__c,My_Primary_NSA__c,My_Primary_Study_Level__c,Name
a1mAD000000LVh1YAG,,,,,,,MS - 001083980
a1mAD000000LVh2YAG,,,,,,,MS - 001083981
a1mAD000000LVh3YAG,,,,,,,MS - 001083982
a1mAD000000LVh4YAG,,,,,,,MS - 001083983
a1mAD000000LVh5YAG,,,,,,,MS - 001083984
a1mAD000000LVh6YAG,,,,,,,MS - 001083985
a1mAD000000LVh7YAG,,,,,,,MS - 001083986
a1mAD000000LVh8YAG,,,,,,,MS - 001083987
a1mAD000000LVh9YAG,,,,,,,MS - 001083988
a1mAD000000LVhAYAW,,,,,,,MS - 001083989
a1mAD000000LVhBYAW,,,,,,,MS - 001083990
a1mAD000000LVhCYAW,,,,,,,MS - 001083991
a1mAD000000LVhDYAW,,,,,,,MS - 001083992
a1mAD000000LVhEYAW,,,,,,,MS - 001083993
a1mAD000000LVhFYAW,,,,,,,MS - 001083994
a1mAD000000LVhGYAW,,,,,,,MS - 001083995
a1mAD000000LVhHYAW,,,,,,,MS - 001083996
a1mAD000000LVhIYAW,,,,,,,MS - 001083997
a1mAD000000LViLYAW,00QAD00000DaJ4g2AF,Miss Leads,,,,,MS - 001083998
a1mAD000000LViMYAW,00QAD00000DaJ4h2AF,Miss Happy,,,,,MS - 001083999
a1mAD000000LViNYAW,00QAD00000DaJ4i2AF,Miss S5 Intl AC6 S5,,,,,MS - 001084000
a1mAD000000LViOYAW,00QAD00000DaJ4j2AF,Miss DOM AC1,,,,,MS - 001084001
a1mAD000000LViPYAW,00QAD00000DaJ4k2AF,Miss Y11 DOM AC4,,,,,MS - 001084002
a1mAD000000LViQYAW,00QAD00000DaJ4l2AF,Miss All DOM AC5,,,,,MS - 001084003
a1mAD000000LViRYAW,00QAD00000DaJ4m2AF,Miss Y10 DOM AC6,,,,,MS - 001084004
a1mAD000000LViSYAW,00QAD00000DaJ4n2AF,Miss Intl AC3,,,,,MS - 001084005
a1mAD000000LViTYAW,00QAD00000DaJ4o2AF,Miss DOM AC2,,,,,MS - 001084006
a1mAD000000LViUYAW,00QAD00000DaJ4p2AF,Miss DOM AC3,,,,,MS - 001084007
a1mAD000000LViVYAW,00QAD00000DaJ4q2AF,Miss Intl AC7,,,,,MS - 001084008
a1mAD000000LViWYAW,00QAD00000DaJ4r2AF,Miss Intl AC4,,,,,MS - 001084009
a1mAD000000LViXYAW,00QAD00000DaJ4s2AF,Miss P DOM AC8,,,,,MS - 001084010
a1mAD000000LViYYAW,00QAD00000DaJ4t2AF,Miss S1 Intl AC5 S1,,,,,MS - 001084011
a1mAD000000LViZYAW,00QAD00000DaJ4u2AF,Miss Intl AC2,,,,,MS - 001084012
a1mAD000000LViaYAG,00QAD00000DaJ4v2AF,Miss S2 Intl AC5 S2,,,,,MS - 001084013
a1mAD000000LVibYAG,00QAD00000DaJ4w2AF,Miss S3 Intl AC5 S3,,,,,MS - 001084014
a1mAD000000LVicYAG,00QAD00000DaJ4x2AF,Miss S4 Intl AC6 S4,,,,,MS - 001084015
a1mAD000000LVidYAG,00QAD00000DaJ4y2AF,Miss P DOM AC82,,,,,MS - 001084016
a1mAD000000LVieYAG,00QAD00000DaJ4z2AF,Marc Jacobs,,,,,MS - 001084017
a1mAD000000LVifYAG,00QAD00000DaJ502AF,Christian Albert,,,,,MS - 001084018
a1mAD000000LVigYAG,00QAD00000DaJ512AF,Keith Ancheta Test,,,,,MS - 001084019
a1mAD000000LVihYAG,00QAD00000DaJ522AF,Katrina Enrera,,,,,MS - 001084020
a1mAD000000LViiYAG,00QAD00000DaJ532AF,Gon Freeces,,,,,MS - 001084021
a1mAD000000LVjxYAG,00QAD00000DaJ532AF,Gon Freeces,,Health,,Postgraduate,MS - 001084022
a1mAD000000LVjyYAG,00QAD00000DaJ512AF,Keith Ancheta Test,,Engineering,,Postgraduate,MS - 001084023
a1mAD000000LVjzYAG,00QAD00000DaJ522AF,Katrina Enrera,,Business,,Postgraduate,MS - 001084024
a1mAD000000LVk0YAG,00QAD00000DaJ502AF,Christian Albert,Australia,Education,,Undergraduate,MS - 001084025
a1mAD000000LVk1YAG,,,,,,,MS - 001084026
a1mAD000000LVk2YAG,00QAD00000DaJ4j2AF,Miss DOM AC1,,,,,MS - 001084027
a1mAD000000LVk3YAG,00QAD00000DaJ4o2AF,Miss DOM AC2,,,,,MS - 001084028
a1mAD000000LVk4YAG,00QAD00000DaJ4p2AF,Miss DOM AC3,,,,Postgraduate,MS - 001084029
a1mAD000000LVk5YAG,00QAD00000DaJ4k2AF,Miss Y11 DOM AC4,,,,,MS - 001084030
a1mAD000000LVk6YAG,00QAD00000DaJ4m2AF,Miss Y10 DOM AC6,,,,,MS - 001084031
a1mAD000000LVk7YAG,,,,,,,MS - 001084032
a1mAD000000LVk8YAG,00QAD00000DaJ4s2AF,Miss P DOM AC8,,,,,MS - 001084033
a1mAD000000LVk9YAG,00QAD00000DaJ4t2AF,Miss S1 Intl AC5 S1,Australia,Business,,,MS - 001084034
a1mAD000000LVkAYAW,00QAD00000DaJ4v2AF,Miss S2 Intl AC5 S2,Australia,Education,Early Childhood,Undergraduate,MS - 001084035
a1mAD000000LVkBYAW,00QAD00000DaJ4w2AF,Miss S3 Intl AC5 S3,Australia,Education,,Postgraduate,MS - 001084036
