AccountId,Birthdate,Company_Name__c,ContactMobile_Validation__c,Description,Email,Errors,FirstName,hed__Chosen_Full_Name__c,hed__Primary_Organization__c,LastName,Migration_Key__c,MobilePhone,QUT_Employee_ID__c,QUT_Identity_ID__c,QUT_Staff_Email__c,QUT_Student_ID__c,Salutation,Work_Email__c
001AD00000U2kWyYAJ,,,,,marygracewhite.li@qut.edu.au,Email must be unique across the organization.,Lauren,,,Boyle,,,SAD342,,castillp@qut.edu.au,,,
001AD00000U2kWyYAJ,,,,,marygrace.ligreen@qut.edu.au,Email must be unique across the organization.,Hann,,,Solo,,,,,marygrace.ligreen@qut.edu.au,,,
001AD00000U2kX0YAJ,,,,,ana.dumangasred@qut.edu.au,Email must be unique across the organization.,Ana,,,Banana,,,,,ana.dumangasred@qut.edu.au,,,
001AD00000U2kX0YAJ,,,,,ana.dumangasblue@qut.edu.au,Email must be unique across the organization.,Ana,,,Test2,,,,,ana.dumangasblue@qut.edu.au,,,
001AD00000U2kX0YAJ,,,,,ana.dumangaswhite@qut.edu.au,Email must be unique across the organization.,Wushi,,,Li,,,,,ana.dumangaswhite@qut.edu.au,,,
,,,,,katespadeupdated@email.com,Email must be unique across the organization.,,,,Spade,,,,,katespadeupdated.staff@email.com,,,
,,,,,stanpring@gmail.com,Email must be unique across the organization.,,,,Pringle,,,,,stanpring.staff@gmail.com,,,
,,,,,missloveylim@email.com,Email must be unique across the organization.,,,,Lovely,,,,,missloveylim.staff@email.com,,,
,,,,,missplease@email.com,Email must be unique across the organization.,,,,Please,,,,,missplease.staff@email.com,,,
,,ACN,,,missleadslim@email.com,Email must be unique across the organization.,,,001AD00000U2kWzYAJ,Leads,,,,,missleadslim.staff@email.com,,,
,,,,,qutcce@email.com,Email must be unique across the organization.,,,,QUT CCE,,,,,qutcce.staff@email.com,,,
,,,,,domac7@emails.com,Email must be unique across the organization.,,,,DOM AC7,,,,,domac7.staff@emails.com,,,
,,acn,,,domac8@email.com,Email must be unique across the organization.,,,001AD00000U2kWzYAJ,DOM AC8,,,,,domac8.staff@email.com,,,
,,,,,,Required fields are missing: [LastName],,,,,,,,,,,,
