Company,Email,Errors,FirstName,LastName,Lead_Type__c,LeadSource,Status
ACN,missleadslim@email.com,Email must be unique across the organization.,Miss,Leads,CCE Corporate Partner,Outbound Enquiry,New
Acn,happy@email.com,Email must be unique across the organization.,Miss,Happy,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac5s5@email.com,Email must be unique across the organization.,Miss S5,Intl AC6 S5,CCE Corporate Partner,Outbound Enquiry,New
ACN,domac1@email.com,Email must be unique across the organization.,Miss,DOM AC1,CCE Corporate Partner,Outbound Enquiry,New
acn,domac4@email.com,Email must be unique across the organization.,Miss Y11,DOM AC4,CCE Corporate Partner,Outbound Enquiry,New
acn,domac5@email.com,Email must be unique across the organization.,Miss All,DOM AC5,CCE Corporate Partner,Outbound Enquiry,New
acn,domac6@email.com,Email must be unique across the organization.,Miss Y10,DOM AC6,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac3@email.com,Email must be unique across the organization.,Miss,Intl AC3,CCE Corporate Partner,Outbound Enquiry,New
acn,domac2@email.com,Email must be unique across the organization.,Miss,DOM AC2,CCE Corporate Partner,Outbound Enquiry,New
acn,domac3@email.com,Email must be unique across the organization.,Miss,DOM AC3,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac7@email.com,Email must be unique across the organization.,Miss,Intl AC7,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac4@email.com,Email must be unique across the organization.,Miss,Intl AC4,CCE Corporate Partner,Outbound Enquiry,New
acn,domac8@email.com,Email must be unique across the organization.,Miss P,DOM AC8,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac5@email.com,Email must be unique across the organization.,Miss S1,Intl AC5 S1,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac2@email.com,Email must be unique across the organization.,Miss,Intl AC2,CCE Corporate Partner,Outbound Enquiry,New
acn,intilac5s2@email.com,Email must be unique across the organization.,Miss S2,Intl AC5 S2,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac3s3@email.com,Email must be unique across the organization.,Miss S3,Intl AC5 S3,CCE Corporate Partner,Outbound Enquiry,New
acn,intlac5s4@email.com,Email must be unique across the organization.,Miss S4,Intl AC6 S4,CCE Corporate Partner,Outbound Enquiry,New
acn,domac82@email.com,Email must be unique across the organization.,Miss P,DOM AC82,CCE Corporate Partner,Outbound Enquiry,New
MJ Inc,marcjacobs@email.com,Email must be unique across the organization.,Marc,Jacobs,CCE Corporate Partner,Outbound Enquiry,New
Surreal Real Estate,christianceo@email.com,Email must be unique across the organization.,Christian,Albert,CCE Corporate Partner,Outbound Enquiry,New
Accenture,keithaudrey@gmail.com,Email must be unique across the organization.,Keith,Ancheta Test,CCE Corporate Partner,Outbound Enquiry,New
acn,katrina.enrera@yahoo.com,Email must be unique across the organization.,Katrina,Enrera,CCE Corporate Partner,Outbound Enquiry,New
acn,gon@test.com,Email must be unique across the organization.,Gon,Freeces,CCE Corporate Partner,Outbound Enquiry,New
