Business_Process__c,Cadence_Step_Name__c,Errors,IsActive__c,Message_Content__c
Domestic Automated Cadence SMS,SMS_Domestic First Offer to Acceptance (Automated)_1,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdICYA0,true,"Congratulations on your QUT offer!  If you haven't responded, we'll call and help.  We look forward to speaking with you soon."
Domestic Automated Cadence SMS,SMS_Domestic Accepted not yet Enrolled (Automated)_1,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIDYA0,true,Thanks for accepting your QUT offer!  You'll need to enrol to get your student login and to get started at QUT.  Need help?  Call HiQ on 07 3138 2000.
Domestic Automated Cadence SMS,SMS_Domestic First Offer to Acceptance_1,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIEYA0,true,"QUT called to congratulate you and see if you had questions about your QUT offer. No need to call us, we'll call you one more time."
Domestic Automated Cadence SMS,SMS_Domestic First Offer to Acceptance_2,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIFYA0,true,QUT's Final Call Attempt. Sorry we missed you.  Remember to Respond to your Offer. Need help? Call HiQ on 07 3138 2000.
Domestic Automated Cadence SMS,SMS_Domestic Accepted and Admitted_1,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIGYA0,true,"We're calling to welcome you to QUT. No need to call us, we'll call one more time."
Domestic Automated Cadence SMS,SMS_Domestic Accepted and Admitted_2,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIHYA0,true,QUT calling again. Please refer to your 'Welcome to QUT' email for vital steps and information to get you started. Need help? Call HiQ on 07 3138 2000.
Domestic Automated Cadence SMS,SMS_Domestic Deferred Offer to Acceptance_1,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIIYA0,true,"QUT called to see if you had questions about responding to your QUT offer. No need to call us, we’ll call you one more time."
Domestic Automated Cadence SMS,SMS_Domestic Deferred Offer to Acceptance_2,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIJYA0,true,"QUT calling again, no need to call us. Refer to your offer email to correctly respond to your offer."
Domestic Automated Cadence SMS,SMS_Domestic Accepted not yet Enrolled_1,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIKYA0,true,"We’re calling to assist you in finalising your acceptance to study at QUT. No need to call us, we’ll call one more time."
Domestic Automated Cadence SMS,SMS_Domestic Accepted not yet Enrolled_2,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdILYA0,true,"QUT calling again. To finalise your acceptance, click 'Enrol at QUT' and follow the instructions on the QUT welcome page. Need help? Call HiQ on 07 3138 2000."
Domestic No Answer SMS,SMS_Domestic No Answer,duplicate value found: Cadence_Step_Name__c duplicates value on record with id: a31AD000000PdIMYA0,true,"Hi. QUT calling for your booked appointment, we're sorry we missed you. We'll call again, but if we can't reach you, you can call us on 07 3138 2000."
