Id,Name,AccountId,LastName,FirstName,hed__Chosen_Full_Name__c,Salutation,Email,MobilePhone,ContactMobile_Validation__c,Work_Email__c,QUT_Staff_Email__c,QUT_Employee_ID__c,QUT_Identity_ID__c,QUT_Student_ID__c,Birthdate,Migration_Key__c,Description,Company_Name__c,hed__Primary_Organization__c,$$Name$QUT_Staff_Email__c,Registered_Email__c
0039r000000HGYDAA4,John Bond,0019n000001yOeoAAE,Bond,John,,,marygracered.li@qut.edu.au,,,,romanillred@qut.edu.au,,,,,,,,,John Bond;romanillred@qut.edu.au,
0039r000000HGYEAA4,Lauren Boyle,0019n000001yOenAAE,Boyle,Lauren,,,marygracewhite.li@qut.edu.au,,,,castillp.staff@qut.edu.au,SAD342,,,,,,,,Lauren Boyle;castillp.staff@qut.edu.au,
0039r000000HGYFAA4,Arthur Song,0019n000001yOenAAE,Song,Arthur,,,marygracepurple.li@qut.edu.au,,,,marygracepurple.li.staff@qut.edu.au,,,,,,,,,Arthur Song;marygracepurple.li.staff@qut.edu.au,
0039r000000HGYGAA4,Hann Solo,0019n000001yOenAAE,Solo,Hann,,,marygrace.ligreen@qut.edu.au,,,,marygrace.ligreen.staff@qut.edu.au,,,,,,,,,Hann Solo;marygrace.ligreen.staff@qut.edu.au,
0039r000000HGYHAA4,Ana Banana,0019n000001yOepAAE,Banana,Ana,,,ana.dumangasred@qut.edu.au,,,,ana.dumangasred.staff@qut.edu.au,,,,,,,,,Ana Banana;ana.dumangasred.staff@qut.edu.au,
0039r000000HGYIAA4,Ana Test2,0019n000001yOepAAE,Test2,Ana,,,ana.dumangasblue@qut.edu.au,,,,ana.dumangasblue.staff@qut.edu.au,,,,,,,,,Ana Test2;ana.dumangasblue.staff@qut.edu.au,
0039r000000HGYJAA4,Wushi Li,0019n000001yOepAAE,Li,Wushi,,,ana.dumangaswhite@qut.edu.au,,,,ana.dumangaswhite.staff@qut.edu.au,,,,,,,,,Wushi Li;ana.dumangaswhite@qut.edu.au,
0039r000000HGYKAA4,Cristy Lee,0019n000001yOenAAE,Lee,Cristy,,,marygrace.liorange@qut.edu.au,,,,marygrace.liorange.staff@qut.edu.au,,,,,,,,,Cristy Lee;marygrace.liorange.staff@qut.edu.au,
0039r000000HGYKAA5,Shane Roberts,,Roberts,Shane,,Mr,s52.roberts.white@qut.edu.au,,,,s52.roberts.staff@qut.edu.au,24,2919b626-c535-45ae-abd4-ade435595817,,,HR:00000024,Test Case: internal QUT staff idea submission,,,Shane Roberts;s52.roberts.staff@qut.edu.au,
0039r000000HGYKAA6,Shilpa Basavarajappa,,Basavarajappa,Shilpa,Shilpa,Mrs,shilpa.basavarajappa.myemail@qut.edu.au,,,,shilpa.basavarajappa.staff@qut.edu.au,48,c75563fb-3aae-4a9c-b8a9-cd40d5553770,402354,,HR:00000048,Test Case: internal QUT staff idea submission,,,Shilpa Basavarajappa;shilpa.basavarajappa.staff@qut.edu.au,
0039r000000HGYKAA7,Anthony Ducat-Ernst,,Ducat-Ernst,Anthony,Anthony,Mr,anthony.ducat.one@qut.edu.au,,,,anthony.ducat@qut.edu.au,70,f723f5eb-ff3e-4e2d-b962-7c2604a9d7d5,,,HR:00000070,Test Case: internal QUT staff idea submission,,,Anthony Ducat-Ernst;anthony.ducat@qut.edu.au,
0039r000000HGYKAA8,Stuart Chalton,,Chalton,Stuart,Stuart,Mr,stuart.charlton.one@qut.edu.au,,,,stuart.charlton@qut.edu.au,83,9f3202e3-5dfd-42ff-b322-fb75f4c4e27a,,,HR:00000083,Test Case: internal QUT staff idea submission,,,Stuart Chalton;stuart.charlton@qut.edu.au,
0038r000003yjgTAAQ,Kate Spade,,Spade,Kate,,,katespadeupdated@email.com,,,,katespadeupdated.staff@email.com,,,,,,,,,Kate Spade;katespadeupdated.staff@email.com,
0038r00000450RiAAI,Stanley Pringle,,Pringle,Stanley,,,stanpring@gmail.com,,,,stanpring.staff@gmail.com,,,,,,,,,Stanley Pringle;stanpring.staff@gmail.com,
0038r0000040Ua6AAE,Miss Lovely,,Lovely,Miss,,,missloveylim@email.com,,,,missloveylim.staff@email.com,,,,,,,,,Miss Lovely;missloveylim.staff@email.com,
0038r0000042P85AAE,Milly Please,,Please,Milly,,,missplease@email.com,,,,missplease.staff@email.com,,,,,,,,,Milly Please;missplease.staff@email.com,
0038r0000044u4XAAQ,Park Leads,,Leads,Park,,,missleadslim@email.com,,,,missleadslim.staff@email.com,,,,,,,ACN,0019n000001yOeoAAE,Park Leads;missplease.staff@email.com,
0038r0000049ILBAA2,Lark QUT CCE,,QUT CCE,Lark,,,qutcce@email.com,,,,qutcce.staff@email.com,,,,,,,,,Lark QUT CCE;qutcce.staff@email.com,
0038r000004AUiTAAW,Dan DOM AC7,,DOM AC7,Dan,,,domac7@emails.com,,,,domac7.staff@emails.com,,,,,,,,,Dan DOM AC7;qutcce.staff@email.com,
0038r000004AUaQAAW,Bert DOM AC8,,DOM AC8,Bert,,,domac8@email.com,,,,domac8.staff@email.com,,,,,,,acn,0019n000001yOeoAAE,Bert DOM AC8;qutcce.staff@email.com,
0038r000003yjgTAAR,Clint Barton,0019n000001yOeoAAE,Barton,Clint,Clint,Mr,qut.automation+barton@gmail.com,61401193175,Valid,,qut.automation+bartonstaff@gmail.com,,,,,,,,,Clint Barton;qut.automation+bartonstaff@gmail.com,
