_,Id,Name,RecordTypeId,hed__Contact__c,hed__Course_Offering__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Grade__c,hed__Primary__c,hed__Program_Enrollment__c,hed__Status__c,hed__Credentialing_Identifier__c,hed__Display_Grade__c,hed__Verification_Status_Date__c,hed__Verification_Status__c,Amount__c,Birthdate__c,Cart_ID__c,Cart_Item__c,Course_Code__c,Course_Offering_End_Date__c,Course_Offering_Name__c,Course_Offering_Start_Date__c,Course_Primary_Delivery_Platform__c,External_Key__c,Facilitator_Bio__c,First_Name__c,Gender__c,IsActive__c,Is_Group_Registered__c,LMS_Integration_Status__c,Marks_Description__c,Marks__c,Nominated_Student_ID__c,Offering_End_Date__c,Offering_Start_Date__c,Paid_in_Full__c,Payment_Method__c,Pricing_Validation__c,Program_Offering__c,Purchased_Price__c,QUT_Student_ID__c,Recordtype_Name__c,Salutation__c,Transaction_ID__c,Certificate_Type__c,Course_Name__c,Paid_Amount__c,Attempt_No__c,Class_Registration_Start_Date__c,Course_Offering_Term_Name__c,Course__c,Enrollment_Stage__c,Enrollment_Status_Date__c,Enrollment_Status__c,Migration_Id__c,Requires_Class_Registration__c,Student_Has_Registered_For_Class__c
[hed__Course_Enrollment__c],a098q0000007pP8AAI,CC-0006,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6cEAC,,,,FALSE,,,,,,,,3/11/86,,,EUNM0001,11/20/22,Innovative Thinking for Teachers & School Leaders: Module Plus,10/10/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,11/20/22,10/10/22,,,,,,,Faculty,MR,,Certificate of Achievement,Innovative Thinking for Teachers & School Leaders: Module Plus,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pP9AAI,CC-0007,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6dEAC,,,,FALSE,,,,,,,,3/11/86,,,EUNM0002,11/20/22,Creating Apps in the Classroom: Module Plus,10/10/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,11/20/22,10/10/22,,,,,,,Faculty,MR,,Certificate of Achievement,Creating Apps in the Classroom: Module Plus,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPAAAY,CC-0008,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6eEAC,,,,FALSE,,,,,,,,3/11/86,,,EUNM6390,12/4/22,Inclusive Education: Core concepts and essential knowledge: Module Plus,10/24/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,12/4/22,10/24/22,,,,,,,Faculty,MR,,Certificate of Achievement,Inclusive Education: Core concepts and essential knowledge: Module Plus,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPBAAY,CC-0009,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6fEAC,,,,FALSE,,,,,,,,3/11/86,,,EUNM6510,12/4/22,Teaching Students who have suffered Complex trauma: Module Plus,10/24/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,12/4/22,10/24/22,,,,,,,Faculty,MR,,Certificate of Achievement,Teaching Students who have suffered Complex trauma: Module Plus,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPCAAY,CC-0010,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6gEAC,,,,FALSE,,,,,,,,3/11/86,,,EUQM6520,8/28/22,Inclusive Strategies for the Autism Spectrum: Module Plus,8/1/22,Blackboard,,,Anthony,,FALSE,FALSE,Success,,,,8/28/22,8/1/22,,,,,,,Faculty,MR,,Certificate of Achievement,Inclusive Strategies for the Autism Spectrum: Module Plus,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPDAAY,CC-0011,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6hEAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0001,10/28/22,AMP it Up! Drama,6/11/22,QUT Canvas,,,Anthony,,TRUE,FALSE,Success,,,,10/28/22,6/11/22,,,,,,,Faculty,MR,,Certificate of Participation,AMP it Up! Drama,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPEAAY,CC-0012,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6iEAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0002,10/28/22,AMP it Up! Visual Art,6/11/22,QUT Canvas,,,Anthony,,TRUE,FALSE,Success,,,,10/28/22,6/11/22,,,,,,,Faculty,MR,,Certificate of Participation,AMP it Up! Visual Art,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPFAAY,CC-0013,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6jEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0003,12/21/22,Associate Fellow (Indigenous Knowledges) of the Higher Education Academy,9/13/22,QUT Canvas,,,Anthony,,FALSE,FALSE,Success,,,,12/21/22,9/13/22,,,,,,,Faculty,MR,,Certificate of Participation,Associate Fellow (Indigenous Knowledges) of the Higher Education Academy,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPGAAY,CC-0014,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6kEAC,,,,FALSE,,,,,,,,3/11/86,,,EXOS0004,6/30/22,AusHSI Health Statistics Refresher,6/29/22,No LMS,,,Anthony,,FALSE,FALSE,,,,,6/30/22,6/29/22,,,,,,,Faculty,MR,,Certificate of Participation,AusHSI Health Statistics Refresher,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
[hed__Course_Enrollment__c],a098q0000007pPHAAY,CC-0015,0128q0000004JlpAAE,0038r000003yjgTAAQ,a0B8q000000Ce6lEAC,,,,TRUE,,,,,,,,3/11/86,,,EXOS0005,5/17/22,Building a High-Performing Team: The Eight Characteristics of Winning Teams,5/17/22,No LMS,,,Anthony,,TRUE,FALSE,,,,,5/17/22,5/17/22,,,,,,,Faculty,MR,,Certificate of Participation,Building a High-Performing Team: The Eight Characteristics of Winning Teams,0,,,QUTeX Products Term,,,,,,FALSE,FALSE
